split,image_name,mask_name,height,width,mask_area,mask_area_ratio,bbox_area_ratio,centroid_x,centroid_y,component_count,largest_component_ratio,text_laterality,text_area_count,description
Train,bjorke_1.png,bjorke_1.png,512,512,37944,0.144744873046875,0.3818359375,0.4429058189780552,0.5959734976624322,2,0.6144317942230656,Bilateral,2.0,"Bilateral pulmonary infection, two infected areas, all left lung and middle right lung."
Train,bjorke_10.png,bjorke_10.png,512,512,30115,0.11487960815429688,0.254058837890625,0.5108343652008461,0.4962438506273895,2,0.5497592561846256,Bilateral,2.0,"Bilateral pulmonary infection, two infected areas, upper left lung and middle right lung."
Train,bjorke_100.png,bjorke_100.png,512,512,18511,0.07061386108398438,0.364105224609375,0.37084672032422467,0.5685407766747037,10,0.31165253092755657,Bilateral,9.0,"Bilateral pulmonary infection, nine infected areas, middle left lung and middle right lung."
Train,bjorke_11.png,bjorke_11.png,512,512,17197,0.06560134887695312,0.6093521118164062,0.42420075772101973,0.7336190595296795,9,0.42757457696109785,Bilateral,9.0,"Bilateral pulmonary infection, nine infected areas, middle left lung and middle right lung."
Train,bjorke_12.png,bjorke_12.png,512,512,23628,0.0901336669921875,0.2568702697753906,0.4250281681788531,0.49372498117428093,3,0.7540629761300153,Bilateral,3.0,"Bilateral pulmonary infection, three infected areas, upper left lung and upper right lung."
Train,bjorke_13.png,bjorke_13.png,512,512,14920,0.056915283203125,0.21185302734375,0.513881995561455,0.6243938972628973,7,0.560254691689008,Bilateral,9.0,"Bilateral pulmonary infection, nine infected areas, middle left lung and middle right lung."
Train,bjorke_14.png,bjorke_14.png,512,512,16684,0.0636444091796875,0.5921173095703125,0.5874810744770644,0.48733321259784146,9,0.2967513785662911,Bilateral,9.0,"Bilateral pulmonary infection, nine infected areas, all left lung and all right lung.."
Train,bjorke_15.png,bjorke_15.png,512,512,10473,0.039951324462890625,0.3173332214355469,0.5934288580663015,0.7069340357639428,7,0.37544161176358254,Bilateral,8.0,"Bilateral pulmonary infection, eight infected areas, lower left lung and middle right lung."
Train,bjorke_16.png,bjorke_16.png,512,512,28840,0.110015869140625,0.4350929260253906,0.2632493601244195,0.6317802383621356,6,0.9111650485436893,Bilateral,6.0,"Bilateral pulmonary infection, six infected areas, middle left lung and middle right lung."
Train,bjorke_17.png,bjorke_17.png,512,512,5194,0.01981353759765625,0.6286468505859375,0.3659675811394602,0.4591041748457312,13,0.4782441278398152,Bilateral,9.0,"Bilateral pulmonary infection, nine infected areas, middle left lung and all right lung.."
